Name,Language,Watchers,Stars,Forks,Issues,Commits,Contributors,Pull_Requests,Folders
netdata,C,1400,44800,4100,680,9816,323,37,22
FiraCode,Clojure,720,44400,1600,222,364,70,2,6
deno,TypeScript,1500,44400,2100,320,2786,220,32,7
html5-boilerplate,JavaScript,2600,44000,10500,2,1778,231,1,5
element,Vue,1400,43800,9900,1235,,501,294,7
markdown-here,JavaScript,1000,43800,7700,246,807,12,17,5
Front-end-Developer-Interview-Questions,HTML,2400,43600,8800,5,786,208,0,3
resume.github.com,JavaScript,336,43600,1100,29,263,48,6,4
awesome-machine-learning,Python,3300,43500,11000,0,1368,416,0,1
lodash,JavaScript,871,43500,4700,35,7994,287,22,3
angular.js,JavaScript,4100,59700,28800,390,8978,1578,75,12
puppeteer,JavaScript,1200,58600,5800,803,1624,251,30,7
three.js,JavaScript,2500,58400,22400,494,,1221,106,9
TypeScript,TypeScript,2100,58000,7900,4082,29642,444,257,9
angular,TypeScript,3200,57700,15800,2918,17027,1089,535,13
terminal,C++,1200,57600,5500,846,977,195,37,9
laravel,PHP,4600,57600,17800,,6139,524,0,9
moby,Go,3200,56400,16300,3627,38283,1849,188,35
ant-design,TypeScript,1500,56300,20400,435,17316,1002,28,9
java-design-patterns,Java,3900,55400,17900,156,2402,186,9,129
computer-science,None,3400,54900,8100,8,,91,1,1
30-seconds-of-code,JavaScript,1700,54600,6100,3,4780,189,3,10
material-ui,JavaScript,1300,54500,14400,328,11067,1652,17,11
jquery,JavaScript,3400,53000,19100,70,6465,277,13,5
webpack,JavaScript,1600,52900,6800,368,10470,584,79,11
redux,TypeScript,1500,52200,13700,28,2961,721,10,8
thefuck,Python,826,52100,2600,182,1555,140,33,3
awesome-vue,None,2200,52000,7300,86,2813,1526,220,0
awesome-go,Go,2600,51900,6900,8,3328,1195,19,2
atom,JavaScript,2500,51100,14000,485,37358,436,128,15
swift,C++,2500,50600,8200,,101825,759,428,15
reveal.js,JavaScript,1600,50300,14600,457,2416,255,94,6
LeetCodeAnimation,Java,2300,49700,9000,0,87,5,1,1
vue-element-admin,Vue,1900,49200,16900,549,966,104,30,7
flask,Python,2300,48900,13300,18,3837,566,3,6
socket.io,JavaScript,1700,48800,8900,449,1720,155,20,5
express,JavaScript,1800,47300,7900,123,5558,230,72,4
Semantic-UI,JavaScript,1400,47300,5000,867,6684,190,119,6
shadowsocks-windows,C#,2600,47300,15200,49,1345,65,11,4
Chart.js,JavaScript,1400,47200,10200,367,3051,313,9,6
coding-interview-university,None,5300,97800,28800,26,1318,139,22,2
developer-roadmap,None,5300,95700,15500,5,253,22,0,3
gitignore,None,3000,95200,49800,,3207,1110,116,3
javascript,JavaScript,3500,92600,18000,79,1796,429,35,4
vscode,TypeScript,2900,91500,13900,4475,61145,1091,145,9
CS-Notes,Java,4500,90800,29300,18,3591,207,5,4
d3,JavaScript,4000,89900,21800,3,4209,121,1,2
flutter,Dart,2700,86700,11300,5000,17643,534,119,5
linux,C,6900,86500,30200,,900539,,322,22
react-native,JavaScript,3700,84900,19000,721,19379,2062,84,22
node,JavaScript,2900,67700,16200,910,29600,2645,262,8
Python,Python,3300,67000,20200,15,1419,428,17,34
animate.css,CSS,2400,64800,13800,30,456,96,11,1
kubernetes,Go,3100,63200,22400,2156,88446,2446,900,17
free-programming-books-zh_CN,None,5400,63200,19600,135,901,112,0,1
Font-Awesome,JavaScript,1400,62100,10500,5000,64,6,16,11
javascript-algorithms,JavaScript,2500,61900,10100,49,790,87,126,2
models,Python,3000,61600,39300,1023,4198,572,219,4
youtube-dl,Python,1800,61600,10700,2612,17560,714,565,6
build-your-own-x,None,2300,60200,4300,42,379,60,23,0
freeCodeCamp,JavaScript,8400,309000,23700,163,25355,3999,89,9
996.ICU,Rust,4500,249000,21200,,3019,605,25,8
vue,JavaScript,6000,157000,23600,291,,289,152,11
react,JavaScript,6600,144000,27600,483,12812,1361,98,6
tensorflow,C++,8500,141000,79900,3102,78840,2396,245,4
bootstrap,JavaScript,7200,139000,68100,331,19337,1108,78,8
free-programming-books,None,8600,137000,33900,19,5200,1096,16,1
awesome,None,6600,126000,16800,12,892,439,14,2
You-Dont-Know-JS,None,5400,117000,23400,76,,169,38,7
ohmyzsh,Shell,2600,103000,18700,214,5481,1498,562,9
system-design-primer,Python,4400,82700,13900,78,280,75,59,2
electron,C++,2800,80700,10800,1261,23166,928,64,17
awesome-python,Python,5200,79300,15600,1,1430,325,43,2
Python-100-Days,Jupyter Notebook,4800,78100,31000,224,296,12,85,14
create-react-app,JavaScript,1800,76000,18100,430,2493,787,108,5
public-apis,Python,2100,70600,8000,5,2132,545,82,2
axios,JavaScript,1200,69600,6200,284,905,199,147,6
go,Go,3400,69000,9800,5000,42513,1464,176,7
JavaGuide,Java,3600,68800,23500,21,2063,124,1,3
the-art-of-command-line,None,2200,68200,7800,78,1185,150,89,1
django,Python,2200,47200,20400,,27917,1854,237,8
elasticsearch,Java,2800,47000,16000,2176,50582,1355,309,18
keras,Python,2100,46800,17700,2790,5342,820,62,7
httpie,Python,1100,45800,3000,135,1148,84,24,4
storybook,TypeScript,693,45500,4200,476,,914,51,16
json-server,JavaScript,973,45500,4200,448,789,60,60,4
Apollo-11,Assembly,1300,45400,6200,14,354,103,4,3
spring-boot,Java,3400,45400,28700,423,25192,651,27,10
rails,Ruby,2600,45000,18200,404,75943,3973,239,17
next.js,JavaScript,846,45000,6300,272,,917,30,8
